IUPHAR  |=  http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2168
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164
PubMed  |=  http://www.ncbi.nlm.nih.gov/pubmed/?term=7915036
ISBN  |=  http://www.springer.com/gb/book/9783662221976
DailyMed  |=  https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3b94f67c-d675-4e16-846a-3ca39b0405e0
